cost,cuisine,link,location,name,promoted,rating,review_count,review_link
$    $,Italian,,Upper East Side,Uva,,4.6 stars out of 5,(1696),https://www.opentable.com/uva?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $,Italian,,Theater District / Times Square,Bond 45,,4.2 stars out of 5,(6512),https://www.opentable.com/r/bond-45-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $,Mexican,,Theater District / Times Square,Toloache-Midtown,,4.6 stars out of 5,(6270),https://www.opentable.com/r/toloache-midtown-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $    $,Italian,,Upper East Side,Harry Cipriani,,4.6 stars out of 5,(1370),https://www.opentable.com/harry-cipriani?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $,Seafood,,Midtown West,Oceana,,4.6 stars out of 5,(5464),https://www.opentable.com/oceana?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $,Steakhouse,,Midtown East,Club A Steakhouse,,4.8 stars out of 5,(4971),https://www.opentable.com/club-a-steakhouse?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $    $,Brazilian Steakhouse,,Midtown West,Fogo de Chao - New York,,4.6 stars out of 5,(2637),https://www.opentable.com/r/fogo-de-chao-brazilian-steakhouse-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $    $,Steakhouse,,Midtown West,The Capital Grille - NY - Rockefeller Center,,4.6 stars out of 5,(4233),https://www.opentable.com/r/the-capital-grille-ny-rockefeller-center-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $,Chinese,,Upper East Side,Philippe Chow - Uptown,,4.6 stars out of 5,(2696),https://www.opentable.com/r/philippe-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $    $,French,,Upper East Side,La Goulue,,4.6 stars out of 5,(630),https://www.opentable.com/r/la-goulue-new-york-2?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $,American,,Rockefeller Center Midtown,Del Frisco's Grille - NYC,,4.5 stars out of 5,(3284),https://www.opentable.com/r/del-friscos-grille-nyc-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $,Greek,,Midtown West,Molyvos,,4.4 stars out of 5,(4831),https://www.opentable.com/molyvos?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $,Italian,,Theater District / Times Square,La Masseria,,4.7 stars out of 5,(4575),https://www.opentable.com/la-masseria?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $    $,Steakhouse,,Theater District / Times Square,The Palm West Side,,4.5 stars out of 5,(5980),https://www.opentable.com/r/the-palm-west-side-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $,Italian,,Midtown West,Basso56,,4.6 stars out of 5,(1149),https://www.opentable.com/r/basso-56-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $,Mexican,,Hell's Kitchen,Tacuba Hell's Kitchen,,4.5 stars out of 5,(975),https://www.opentable.com/r/tacuba-hells-kitchen-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $,Italian,,Midtown East,LAVO Italian Restaurant - New York,,4.5 stars out of 5,(2821),https://www.opentable.com/r/lavo-italian-restaurant-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $,Korean,,Hell's Kitchen,Danji,,4.7 stars out of 5,(1015),https://www.opentable.com/danji?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $    $,Steakhouse,,Midtown West,Nusr-Et Steakhouse New York,,4.5 stars out of 5,(1682),https://www.opentable.com/r/nusr-et-steakhouse-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $,French,,Upper East Side,Match 65 Brasserie (formerly Paris Match),,4.6 stars out of 5,(940),https://www.opentable.com/r/match-65-brasserie-formerly-paris-match-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $,Mediterranean,,Midtown East,FIG & OLIVE Fifth Avenue,,4.4 stars out of 5,(8320),https://www.opentable.com/r/fig-and-olive-fifth-avenue-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $    $,Contemporary American,,Theater District / Times Square,The View Restaurant,,4.4 stars out of 5,(12749),https://www.opentable.com/the-view-restaurant?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $,Italian,,Upper East Side,Caffe Buon Gusto - UES,,4.6 stars out of 5,(644),https://www.opentable.com/caffe-buon-gusto-ues?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $,French,,Theater District / Times Square,Le Rivage,,4.6 stars out of 5,(5201),https://www.opentable.com/r/le-rivage-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $,Italian,,Midtown East,Fresco by Scotto,,4.6 stars out of 5,(2021),https://www.opentable.com/fresco-by-scotto?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $,Italian,,Hell's Kitchen,Bocca di Bacco (Hell's Kitchen - 54th St.),,4.6 stars out of 5,(2080),https://www.opentable.com/r/bocca-di-bacco-hells-kitchen-54th-st-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $,Cuban,,Theater District / Times Square,Victor's Café,,4.5 stars out of 5,(7407),https://www.opentable.com/victors-cafe?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $,American,,Theater District / Times Square,The Terrace at EDITION and Outdoor Gardens,,4.6 stars out of 5,(370),https://www.opentable.com/r/the-terrace-at-the-edition-and-outdoor-gardens-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $,Steakhouse,,Theater District / Times Square,Ruth's Chris Steak House - New York City - Midtown,,4.5 stars out of 5,(5200),https://www.opentable.com/ruths-chris-steak-house-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $,Italian,,Midtown West,Il Corso (New York City),,4.7 stars out of 5,(2312),https://www.opentable.com/il-corso-new-york-city?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $,Italian,,Midtown West,Serafina Broadway,,4.3 stars out of 5,(1401),https://www.opentable.com/r/serafina-broadway-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $    $,Mediterranean,,Rockefeller Center Midtown,Limani - NYC,,4.6 stars out of 5,(2157),https://www.opentable.com/limani-nyc?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $    $,Italian,,Midtown West,Il Tinello,,4.7 stars out of 5,(1401),https://www.opentable.com/il-tinello?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $,Italian,,Midtown East,Felidia,,4.6 stars out of 5,(5401),https://www.opentable.com/r/felidia-new-york-2?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $    $,Italian,,Midtown West,Il Gattopardo,,4.6 stars out of 5,(1477),https://www.opentable.com/r/il-gattopardo-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $    $,Italian,,Midtown East,Casa Lever,,4.8 stars out of 5,(1440),https://www.opentable.com/casa-lever?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $    $,Japanese,,Midtown West,Yakitori Tori Shin,,4.8 stars out of 5,(639),https://www.opentable.com/yakitori-tori-shin-west?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $,French,,Midtown West,Brasserie 8 1/2,,4.5 stars out of 5,(4399),https://www.opentable.com/r/brasserie-8-1-2-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $    $,French,,Midtown East,La Grenouille,,4.7 stars out of 5,(3244),https://www.opentable.com/la-grenouille?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $,Italian,,Theater District / Times Square,Lattanzi,,4.5 stars out of 5,(4996),https://www.opentable.com/r/lattanzi-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $,Seafood,,Theater District / Times Square,Blue Fin - New York,,4.3 stars out of 5,(7806),https://www.opentable.com/r/blue-fin-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $    $,French,,Upper East Side,Majorelle,,4.8 stars out of 5,(465),https://www.opentable.com/r/majorelle-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $    $,American,,Midtown West,21 Club,,4.6 stars out of 5,(4114),https://www.opentable.com/r/21-club-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $,Steakhouse,,Upper East Side,T-BAR Steak & Lounge (Upper East Side),,4.8 stars out of 5,(1483),https://www.opentable.com/t-bar-steak-and-lounge-upper-east-side?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $,French,,Theater District / Times Square,Marseille,,4.5 stars out of 5,(6675),https://www.opentable.com/r/marseille-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $,American,,Midtown West,5 Napkin Burger - Hell's Kitchen,,4.6 stars out of 5,(4437),https://www.opentable.com/r/5-napkin-burger-hells-kitchen-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
$    $    $,Italian,,Upper East Side,Bar Italia,,4.6 stars out of 5,(645),https://www.opentable.com/r/bar-italia-new-york?avt=eyJ2IjoxLCJtIjoxLCJwIjowfQ&corrid=442da350-4a3e-4395-9856-dae8f6b14e68#reviews
